arg-id,comment-id,argument
A1_0,1,I have a Rakuten phone but use Docomo's network. Trying to switch to their own network is a hassle with numerous ID and password requests.
A1_1,1,Managing passwords for two phones is challenging.
A2_0,2,"Is it a lie, Docomo...?"
A3_0,3,docomo どこ
A4_0,4,"I was puzzled why I was charged for two months from Sakurazaka46's fan club every month, but I found out I registered with both iCloud and Docomo email addresses."
A5_0,5,"I won for the first time! So happy! (Even though there are 10,000 people 🤣) https://t.co/QxKzq4kon6 https://t.co/MvUVmOocZ6"
A6_0,6,I never win when using D払い. It feels like Docomo is involved in this lack of luck. Considering changing my smartphone provider.
A6_1,6,I've lost 5 million yen in six months.
A7_0,7,"Switched from Docomo to Rakuten 3 months ago, and my communication costs have halved."
A7_1,7,"Although the cost is lower, the service quality seems to reflect the saying 'you get what you pay for'."
A8_0,8,Anyone interested in the Docomo version of the Z Flip3?
A9_0,9,楽天モバイルの時代は終わり。docomoの月2900円でギガ制限なし、365日かけ放題のプランは魅力的。
A9_1,9,速度もYouTubeが快適に視聴できるレベル。教育費に回せる節約になる。
A10_0,10,"irumo (イルモ) offers plans suitable for those with Wi-Fi, with methods for discounted fees."
A10_1,10,"Recommended for those interested in irumo, a Docomo service."
A11_0,11,Comparison between eximo and Rakuten's strongest plan: Unlimited vs. Unlimited.
A11_1,11,"Featuring 米倉涼子, 今田美桜, eximo, Docomo, 楽天最強プラン, RakutenMobile, and more."
A12_0,12,"April Fools, but honestly, I haven't used Chromebook yet even though I use Android."
A12_1,12,Combining Android and Chromebook from Google sold by SoftBank seems very convenient!
A13_0,13,"Irumo offers plans recommended for those with Wi-Fi, with methods for discounted fees!"
A13_1,13,Check out Irumo for potential savings and a great experience.
A14_0,14,"I will pass. Even if I'm sleepy, I have to wake up and do it! Good morning!"
A15_0,15,"irumo offers plans with Wi-Fi for those interested, with possible discounts on fees."
A15_1,15,Check out the details at the link provided. #irumo #ahamo #eximo #docomo
